A4 teach_family name=frin conf=0.210 centroid=-0.000,-0.013,0.027,-0.015,0.007,0.002,-0.019,-0.022,-0.004,-0.003,0.035,0.006,-0.004,-0.025,-0.008,-0.023,0.048,-0.017,0.031,-0.009,-0.006,-0.008,0.057,-0.008,0.038,0.017,-0.006,-0.014,0.020,0.024,0.006,0.018
A17 teach_family name=fvakrinsu conf=0.290 centroid=0.001,-0.004,0.000,0.000,0.003,-0.006,0.012,0.000,-0.004,-0.000,0.006,-0.004,0.001,0.005,-0.002,-0.004,-0.003,0.006,0.003,-0.006,-0.002,-0.008,0.002,0.002,0.000,0.005,-0.008,0.001,-0.002,0.003,-0.003,-0.001
A27 teach_family name=fvak conf=0.370 centroid=0.002,-0.003,-0.001,-0.007,0.003,0.002,0.003,-0.004,-0.006,-0.002,-0.002,-0.001,-0.002,0.002,-0.005,0.000,-0.005,-0.002,0.006,0.001,-0.001,0.008,0.006,-0.000,-0.004,0.008,-0.004,-0.001,0.001,-0.005,-0.006,0.008
A0 teach_family name=fkakatar conf=0.380 centroid=0.001,0.008,-0.008,-0.002,0.001,-0.003,0.007,0.006,-0.000,-0.015,-0.003,0.007,-0.013,-0.002,0.003,-0.007,-0.002,-0.003,0.007,0.009,-0.005,0.004,-0.005,0.001,0.003,0.000,0.008,-0.002,-0.008,0.001,0.001,0.012
A8 teach_family name=fkasutol conf=0.320 centroid=0.000,0.003,0.009,0.004,0.002,-0.004,0.004,-0.003,-0.004,0.005,0.001,0.001,0.002,-0.001,-0.002,-0.006,0.002,0.000,-0.006,-0.003,0.003,0.005,-0.003,-0.004,-0.008,-0.008,0.002,-0.004,0.012,-0.006,0.013,0.003
A14 teach_family name=frinrinka conf=0.270 centroid=0.000,0.005,-0.006,0.004,-0.007,-0.018,0.003,0.000,0.001,0.000,-0.008,0.003,0.001,-0.000,0.008,0.004,0.010,0.008,-0.005,-0.001,-0.000,-0.002,0.005,0.003,-0.003,0.003,-0.004,0.007,-0.003,-0.003,-0.012,-0.003
A14 teach_family name=fmuktol conf=0.210 centroid=0.001,-0.044,0.005,-0.045,-0.055,0.050,-0.051,0.010,-0.037,-0.017,0.020,0.033,-0.073,0.026,-0.044,0.046,-0.046,-0.064,0.085,0.019,0.046,-0.030,0.007,-0.065,0.038,0.016,0.033,0.026,-0.088,-0.044,-0.050,-0.004
A18 teach_family name=frinvak conf=0.510 centroid=0.001,0.000,-0.000,-0.015,-0.000,-0.004,-0.004,-0.003,0.002,-0.002,0.000,0.002,0.003,-0.006,-0.000,0.005,0.003,0.001,-0.002,-0.001,-0.003,0.001,0.001,-0.006,0.004,0.001,0.004,0.000,-0.006,0.002,-0.001,0.004
A1 teach_family name=frinzev conf=0.460 centroid=0.002,0.001,0.001,-0.008,0.002,-0.002,-0.003,-0.008,-0.001,-0.003,0.010,-0.004,-0.002,0.006,0.001,0.002,0.009,-0.001,0.003,0.009,-0.004,-0.005,-0.004,0.004,-0.005,0.003,0.005,0.002,0.005,-0.003,-0.007,-0.005
A3 teach_family name=fvakmuk conf=0.490 centroid=0.001,0.002,0.004,-0.007,-0.003,-0.003,-0.011,0.004,0.002,0.002,-0.002,-0.007,-0.000,0.004,0.004,-0.001,0.002,-0.005,0.001,0.003,-0.007,-0.003,-0.002,-0.002,0.004,0.010,0.011,-0.001,-0.000,0.006,0.006,-0.007
